REG_NO_good,BSSH_NM,is_good_restaurant,REG_NO_safe,RPRSNTV_NM,INDUTY,INDUTY_DETAIL,DSGN_YMD,is_safe_restaurant,ADRES,TELNO,base_score,combined_text,CLEAN_ADRES,latitude,longitude
,가츠라,0,149,최은실,일반음식점,일식,1.63777E+12,1,경상북도 영주시 영주로 177,054-638-3207,10,가츠라 경상북도 영주시 영주로 177 일식,경상북도 영주시 영주로 177,36.824815,128.6158266
,가화한정식당,0,170,이옥순,일반음식점,한식,1.61893E+12,1,경상북도 영주시 시청로 30,054-634-1075,10,가화한정식당 경상북도 영주시 시청로 30 한식,경상북도 영주시 시청로 30,36.8088568,128.6244859
,갓포,0,136,김성희,일반음식점,일식,1.65289E+12,1,경상북도 영주시 대학로 245,054-635-3005,10,갓포 경상북도 영주시 대학로 245 일식,경상북도 영주시 대학로 245,36.8187464,128.6046765
,개성집,0,76,권영철,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로 82,-,10,개성집 경상북도 영주시 대동로 82 한식,경상북도 영주시 대동로 82,36.8148695,128.6096345
1,계림상황삼계탕,1,225,이석경,일반음식점,한식,1.58489E+12,1,경상북도 영주시 대학로 5-1 ,054-638-1080,110,계림상황삼계탕 경상북도 영주시 대학로 5-1  한식,경상북도 영주시 대학로 5-1,36.8263066,128.6049243
,고조선감저,0,28,전효우,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로 159-1,054-631-4545,10,고조선감저 경상북도 영주시 대동로 159-1 한식,경상북도 영주시 대동로 159-1,36.815384,128.6256528
,고향손칼국수,0,24,박영순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 선비로 75,054-633-9379,10,고향손칼국수 경상북도 영주시 선비로 75 한식,경상북도 영주시 선비로 75,36.8146002,128.6225686
,골목한우,0,148,심희섭,일반음식점,한식,1.63777E+12,1,경상북도 영주시 대학로240번길 16-12,054-634-6600,10,골목한우 경상북도 영주시 대학로240번길 16-12 한식,경상북도 영주시 대학로240번길 16-12,36.8168755,128.6055673
,광명갈비,0,53,최종찬,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 풍기로 71-10,054-636-6543,10,광명갈비 경상북도 영주시 풍기읍 풍기로 71-10 한식,경상북도 영주시 풍기읍 풍기로 71-10,36.8710244,128.5256503
,교동면옥영주가흥점,0,104,정윤서 외 1명,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로31번길 25-9,054-635-0017,10,교동면옥영주가흥점 경상북도 영주시 대동로31번길 25-9 한식,경상북도 영주시 대동로31번길 25-9,36.81728375,128.6050866
,교짬,0,121,김덕년,일반음식점,중식,1.65289E+12,1,경상북도 영주시 영주로231번길 24,054-635-9782,10,교짬 경상북도 영주시 영주로231번길 24 중식,경상북도 영주시 영주로231번길 24,36.82672633,128.6255809
,국시명가,0,6,김순조,일반음식점,한식,1.65582E+12,1,경상북도 영주시 영주로 177,054-632-7390,10,국시명가 경상북도 영주시 영주로 177 한식,경상북도 영주시 영주로 177,36.824815,128.6158266
,그집족발,0,137,이희정,일반음식점,한식,1.65289E+12,1,경상북도 영주시 영주로60번길 37-14,054-633-3636,10,그집족발 경상북도 영주시 영주로60번길 37-14 한식,경상북도 영주시 영주로60번길 37-14,36.8206417,128.6064923
,김영남손짜장,0,155,김영남,일반음식점,중식,1.62152E+12,1,경상북도 영주시 선비로 269-1,054-632-5758,10,김영남손짜장 경상북도 영주시 선비로 269-1 중식,경상북도 영주시 선비로 269-1,36.8266724,128.6160008
,까르비소,0,217,전민규,일반음식점,서양식,1.60329E+12,1,경상북도 영주시 영주로231번길 20,054-632-1566,10,까르비소 경상북도 영주시 영주로231번길 20 서양식,경상북도 영주시 영주로231번길 20,36.8266938,128.6253508
,까치식당,0,16,정대협,일반음식점,한식,1.65582E+12,1,경상북도 영주시 구성로 233,054-631-4866,10,까치식당 경상북도 영주시 구성로 233 한식,경상북도 영주시 구성로 233,36.824067,128.6220614
,꼬끼요찜닭영주점,0,80,조현묵,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로34번길 2,054-636-2456,10,꼬끼요찜닭영주점 경상북도 영주시 대동로34번길 2 한식,경상북도 영주시 대동로34번길 2,36.81484678,128.6059407
,꽃돼지국밥,0,123,권리라,일반음식점,한식,1.65289E+12,1,경상북도 영주시 봉현면 오현로 73,054-638-2124,10,꽃돼지국밥 경상북도 영주시 봉현면 오현로 73 한식,경상북도 영주시 봉현면 오현로 73,36.86497607,128.5227645
,꽃쌈샤브샤브,0,81,정희순,일반음식점,기타외국식,1.65582E+12,1,경상북도 영주시 대동로 69,054-635-8866,10,꽃쌈샤브샤브 경상북도 영주시 대동로 69 기타외국식,경상북도 영주시 대동로 69,36.8148695,128.6096345
,꿀돼지,0,216,송미정,일반음식점,한식,1.60329E+12,1,경상북도 영주시 신재로12번길 89,054-631-1412,10,꿀돼지 경상북도 영주시 신재로12번길 89 한식,경상북도 영주시 신재로12번길 89,36.83514796,128.6112658
,꿀탄,0,82,장혜숙,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로240번길 20,-,10,꿀탄 경상북도 영주시 대학로240번길 20 한식,경상북도 영주시 대학로240번길 20,36.8175109,128.6065217
,꿉소굽소식당,0,46,이옥분,일반음식점,한식,1.65582E+12,1,경상북도 영주시 구성로320번길 11-8,054-633-0009,10,꿉소굽소식당 경상북도 영주시 구성로320번길 11-8 한식,경상북도 영주시 구성로320번길 11-8,36.821974,128.6264053
2,나드리,1,,,,,,0,"경상북도 영주시 중앙로 89, 2층 ",054-633-5482,100,"나드리 경상북도 영주시 중앙로 89, 2층",경상북도 영주시 중앙로 89,36.819539,128.6189829
3,너른마당,1,215,김정희,일반음식점,한식,1.60329E+12,1,경상북도 영주시 구성로 117 ,054-634-0606,110,너른마당 경상북도 영주시 구성로 117  한식,경상북도 영주시 구성로 117,36.824067,128.6220614
,누나포차,0,74,김현지,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로164번길 11-1,-,10,누나포차 경상북도 영주시 대학로164번길 11-1 한식,경상북도 영주시 대학로164번길 11-1,36.81119437,128.6089119
,뉴욕쟁이디저트영주점,0,101,홍성탁,일반음식점,기타 음식점업,1.65289E+12,1,경상북도 영주시 대동로 51,054-632-3252,10,뉴욕쟁이디저트영주점 경상북도 영주시 대동로 51 기타 음식점업,경상북도 영주시 대동로 51,36.8148695,128.6096345
4,다성한정식,1,214,박인숙,일반음식점,한식,1.60329E+12,1,경상북도 영주시 선비로 128(휴천동),054-632-0802,110,다성한정식 경상북도 영주시 선비로 128(휴천동) 한식,경상북도 영주시 선비로 128,36.8146002,128.6225686
,다온부대찌개,0,75,김광희,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로 343,054-631-5457,10,다온부대찌개 경상북도 영주시 대학로 343 한식,경상북도 영주시 대학로 343,36.828607,128.6035955
,닥엔돈스영주점,0,79,이태겸,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로 40,054-637-1191,10,닥엔돈스영주점 경상북도 영주시 대동로 40 한식,경상북도 영주시 대동로 40,36.8148695,128.6096345
,단산갈비,0,70,권춘옥,일반음식점,한식,1.65582E+12,1,경상북도 영주시 단산면 보옥로 366,054-632-8885,10,단산갈비 경상북도 영주시 단산면 보옥로 366 한식,경상북도 영주시 단산면 보옥로 366,36.95181126,128.6195313
,담뜰,0,40,김효숙,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로 22,054-633-3166,10,담뜰 경상북도 영주시 번영로 22 한식,경상북도 영주시 번영로 22,36.81395957,128.6284738
,대가복국,0,87,정성화,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로13번길 38-2,054-632-4532,10,대가복국 경상북도 영주시 대동로13번길 38-2 한식,경상북도 영주시 대동로13번길 38-2,36.8169623,128.6037631
,대복식당,0,13,신상헌,일반음식점,한식,1.65582E+12,1,경상북도 영주시 영주로231번길 8,054-635-6528,10,대복식당 경상북도 영주시 영주로231번길 8 한식,경상북도 영주시 영주로231번길 8,36.8266938,128.6253508
,대어,0,19,윤정희,일반음식점,일식,1.65582E+12,1,경상북도 영주시 선비로 118,054-633-7845,10,대어 경상북도 영주시 선비로 118 일식,경상북도 영주시 선비로 118,36.8146002,128.6225686
5,대지한우식육식당,1,213,안홍표,일반음식점,한식,1.60329E+12,1,경상북도 영주시 선비로 48 ,054-633-3392,110,대지한우식육식당 경상북도 영주시 선비로 48  한식,경상북도 영주시 선비로 48,36.8095826,128.6250235
,독점뒷고기,0,99,장문화,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로201번길 5,054-637-5913,10,독점뒷고기 경상북도 영주시 대학로201번길 5 한식,경상북도 영주시 대학로201번길 5,36.8143876,128.6051085
,돈마루식당,0,135,이종란,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로31번길 35-3,054-634-2468,10,돈마루식당 경상북도 영주시 대동로31번길 35-3 한식,경상북도 영주시 대동로31번길 35-3,36.8182297,128.6065882
,돈미돈미,0,169,박명화,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 남간로 3,054-635-9295,10,돈미돈미 경상북도 영주시 남간로 3 기타 음식점업,경상북도 영주시 남간로 3,36.8184861,128.6340552
,돈부자네식당,0,112,배미향,일반음식점,한식,1.65289E+12,1,경상북도 영주시 지천로 103,054-631-1929,10,돈부자네식당 경상북도 영주시 지천로 103 한식,경상북도 영주시 지천로 103,36.8089463,128.6191606
,돌솥밥상,0,14,안미자,일반음식점,한식,1.65582E+12,1,경상북도 영주시 영주로 232-5 세화빌딩 103호,054-636-5777,10,돌솥밥상 경상북도 영주시 영주로 232-5 세화빌딩 103호 한식,경상북도 영주시 영주로 232-5 세화빌딩 103호,36.8253267,128.6252719
,돌솥한상식당,0,44,김종순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로132번길 8,054-635-3221,10,돌솥한상식당 경상북도 영주시 번영로132번길 8 한식,경상북도 영주시 번영로132번길 8,36.82365004,128.6269038
,돌아온돼지우리,0,125,김국섭,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로164번길 3-18,054-638-1521,10,돌아온돼지우리 경상북도 영주시 대학로164번길 3-18 한식,경상북도 영주시 대학로164번길 3-18,36.8120587,128.6085741
,동경식당,0,98,이말순,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로 197,-,10,동경식당 경상북도 영주시 대학로 197 한식,경상북도 영주시 대학로 197,36.8187464,128.6046765
,동남풍한우식당,0,165,최영은,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 번영로173번길 13,054-635-6842,10,동남풍한우식당 경상북도 영주시 번영로173번길 13 기타 음식점업,경상북도 영주시 번영로173번길 13,36.8268318,128.6222864
,동동숯불,0,65,차문숙,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로173번길 9,054-632-3343,10,동동숯불 경상북도 영주시 번영로173번길 9 한식,경상북도 영주시 번영로173번길 9,36.8268318,128.6222864
,동래면가,0,172,송문섭,일반음식점,일식,1.61893E+12,1,경상북도 영주시 대학로201번길 8-20,054-917-0802,10,동래면가 경상북도 영주시 대학로201번길 8-20 일식,경상북도 영주시 대학로201번길 8-20,36.8132324,128.6045816
,동양순대,0,67,전성홍,일반음식점,한식,1.65582E+12,1,경상북도 영주시 중앙로83번길 33,054-632-8440,10,동양순대 경상북도 영주시 중앙로83번길 33 한식,경상북도 영주시 중앙로83번길 33,36.823841,128.6232961
,동원명가,0,219,김인숙,일반음식점,한식,1.58584E+12,1,경상북도 영주시 원당로 90-3,054-635-7553,10,동원명가 경상북도 영주시 원당로 90-3 한식,경상북도 영주시 원당로 90-3,36.8269106,128.6319208
,동천가든식육식당,0,212,권은숙,일반음식점,한식,1.60329E+12,1,경상북도 영주시 신재로12번길 90,054-632-7043,10,동천가든식육식당 경상북도 영주시 신재로12번길 90 한식,경상북도 영주시 신재로12번길 90,36.83516956,128.61164
,동해일식,0,211,이상인,일반음식점,일식,1.60329E+12,1,경상북도 영주시 선비로 92,054-631-5855,10,동해일식 경상북도 영주시 선비로 92 일식,경상북도 영주시 선비로 92,36.8146002,128.6225686
6,동화식당,1,,,,,,0,경상북도 영주시 중앙로 81번길 31,054-633-8745,100,동화식당 경상북도 영주시 중앙로 81번길 31,경상북도 영주시 중앙로 81번길 31,36.82361355,128.6232856
,두부마을식당,0,220,하옥희,일반음식점,한식,1.58498E+12,1,경상북도 영주시 대학로 2,054-637-8872,10,두부마을식당 경상북도 영주시 대학로 2 한식,경상북도 영주시 대학로 2,36.8291896,128.6035208
,두부마을택지2호점,0,210,손주현,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로34번길 2,054-638-8872,10,두부마을택지2호점 경상북도 영주시 대동로34번길 2 한식,경상북도 영주시 대동로34번길 2,36.81484678,128.6059407
,두부명가,0,173,송인형,일반음식점,한식,1.61893E+12,1,경상북도 영주시 대학로261번길 36,054-635-2564,10,두부명가 경상북도 영주시 대학로261번길 36 한식,경상북도 영주시 대학로261번길 36,36.8188286,128.6026314
7,둘구비가든,1,180,곽석원,일반음식점,한식,1.61893E+12,1,경상북도 영주시 조암로 409 ,054-638-5289,110,둘구비가든 경상북도 영주시 조암로 409  한식,경상북도 영주시 조암로 409,36.8070911,128.658432
,들소식당,0,31,이계연,일반음식점,한식,1.65582E+12,1,경상북도 영주시 남간로 5,054-631-0050,10,들소식당 경상북도 영주시 남간로 5 한식,경상북도 영주시 남간로 5,36.8184861,128.6340552
,또아수제돈까스부대나라,0,41,노창균,일반음식점,서양식,1.65582E+12,1,경상북도 영주시 중앙로80번길 2,054-632-9976,10,또아수제돈까스부대나라 경상북도 영주시 중앙로80번길 2 서양식,경상북도 영주시 중앙로80번길 2,36.82227818,128.6249397
,뜬돌정,0,133,정준회,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로31번길 25-7,054-631-1365,10,뜬돌정 경상북도 영주시 대동로31번길 25-7 한식,경상북도 영주시 대동로31번길 25-7,36.8153223,128.6071899
,라니,0,63,김진우,일반음식점,한식,1.65582E+12,1,경상북도 영주시 구성로350번길 25 2층,-,10,라니 경상북도 영주시 구성로350번길 25 2층 한식,경상북도 영주시 구성로350번길 25 2층,36.82415252,128.624065
,루나리치,0,129,김순희,일반음식점,서양식,1.65289E+12,1,경상북도 영주시 대동로52번길 12,054-636-7333,10,루나리치 경상북도 영주시 대동로52번길 12 서양식,경상북도 영주시 대동로52번길 12,36.8139762,128.6080303
,링고카레,0,105,박철상,일반음식점,기타외국식,1.65289E+12,1,경상북도 영주시 대동로31번길 25,054-636-9255,10,링고카레 경상북도 영주시 대동로31번길 25 기타외국식,경상북도 영주시 대동로31번길 25,36.81750869,128.6059368
,마루참치,0,127,김말희,일반음식점,일식,1.65289E+12,1,경상북도 영주시 대학로 198,054-632-8686,10,마루참치 경상북도 영주시 대학로 198 일식,경상북도 영주시 대학로 198,36.809465,128.6203442
,마선장해물아귀찜,0,109,박혜원,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로 168-1,054-633-7611,10,마선장해물아귀찜 경상북도 영주시 대학로 168-1 한식,경상북도 영주시 대학로 168-1,36.8097406,128.621816
,마왕족발영주가흥점,0,132,김영규,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로13번길 18,054-638-5892,10,마왕족발영주가흥점 경상북도 영주시 대동로13번길 18 한식,경상북도 영주시 대동로13번길 18,36.8169623,128.6037631
,마츠,0,147,박서현,일반음식점,일식,1.63777E+12,1,경상북도 영주시 대학로262번길 23,054-708-8585,10,마츠 경상북도 영주시 대학로262번길 23 일식,경상북도 영주시 대학로262번길 23,36.8186371,128.6066148
,만당해장국,0,232,김영숙,일반음식점,한식,1.58489E+12,1,경상북도 영주시 대학로 6,054-632-8200,10,만당해장국 경상북도 영주시 대학로 6 한식,경상북도 영주시 대학로 6,36.8293409,128.6036611
,만파식적,0,90,이동환 외 1명,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로284번길 21-7,054-632-3233,10,만파식적 경상북도 영주시 대학로284번길 21-7 한식,경상북도 영주시 대학로284번길 21-7,36.8206461,128.6074301
,메밀명가,0,154,우경식,일반음식점,한식,1.62152E+12,1,경상북도 영주시 중앙로 47,054-632-5935,10,메밀명가 경상북도 영주시 중앙로 47 한식,경상북도 영주시 중앙로 47,36.8189804,128.6176292
,명가정,0,57,전혜영,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 동양대로22번길 9,054-636-9333,10,명가정 경상북도 영주시 풍기읍 동양대로22번길 9 한식,경상북도 영주시 풍기읍 동양대로22번길 9,36.87273124,128.5285275
8,명동감자탕,1,209,강일만,일반음식점,한식,1.60329E+12,1,"경상북도 영주시 중앙로106번길 8, 1호",054-635-7235,110,"명동감자탕 경상북도 영주시 중앙로106번길 8, 1호 한식",경상북도 영주시 중앙로106번길 8,36.8245734,128.6262435
,명품한우갈비살,0,106,천경애,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로 247-1,054-633-2574,10,명품한우갈비살 경상북도 영주시 대학로 247-1 한식,경상북도 영주시 대학로 247-1,36.8263066,128.6049243
,몽땅해장국,0,58,임동열,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 동양대로 62,054-636-9820,10,몽땅해장국 경상북도 영주시 풍기읍 동양대로 62 한식,경상북도 영주시 풍기읍 동양대로 62,36.87480202,128.5312435
9,미소함박,1,208,최성진,일반음식점,서양식,1.60329E+12,1,경상북도 영주시 대학로262번길 8-1 ,054-631-9028,110,미소함박 경상북도 영주시 대학로262번길 8-1  서양식,경상북도 영주시 대학로262번길 8-1,36.8186371,128.6066148
,바다횟집,0,207,남석태,일반음식점,일식,1.60329E+12,1,경상북도 영주시 번영로 81,054-632-5553,10,바다횟집 경상북도 영주시 번영로 81 일식,경상북도 영주시 번영로 81,36.81938288,128.6283448
,박의서수제왕돈까스,0,88,박의서,일반음식점,서양식,1.65582E+12,1,경상북도 영주시 대학로284번길 22,054-631-8413,10,박의서수제왕돈까스 경상북도 영주시 대학로284번길 22 서양식,경상북도 영주시 대학로284번길 22,36.8206461,128.6074301
,박초네아구찜,0,62,김제완,일반음식점,한식,1.65582E+12,1,경상북도 영주시 영주로231번길 30,054-634-0077,10,박초네아구찜 경상북도 영주시 영주로231번길 30 한식,경상북도 영주시 영주로231번길 30,36.8266938,128.6253508
,밥도둑,0,33,손숙영,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로 66,054-635-0949,10,밥도둑 경상북도 영주시 번영로 66 한식,경상북도 영주시 번영로 66,36.8271953,128.625076
,배상궁생고기맛집,0,71,배지현,일반음식점,한식,1.65582E+12,1,경상북도 영주시 신재로55번길 7-3,054-633-8330,10,배상궁생고기맛집 경상북도 영주시 신재로55번길 7-3 한식,경상북도 영주시 신재로55번길 7-3,36.82985779,128.6067531
,백년밥상,0,73,김종협,일반음식점,한식,1.65582E+12,1,경상북도 영주시 영주로86번길 49,054-631-7030,10,백년밥상 경상북도 영주시 영주로86번길 49 한식,경상북도 영주시 영주로86번길 49,36.8219303,128.6114053
,복돼지아구찜식당,0,1,박미량,일반음식점,한식,1.65651E+12,1,경상북도 영주시 남간로 29-1,054-636-9595,10,복돼지아구찜식당 경상북도 영주시 남간로 29-1 한식,경상북도 영주시 남간로 29-1,36.8184861,128.6340552
,봉구대패삼겹살,0,27,정경순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대동로 151,054-637-8072,10,봉구대패삼겹살 경상북도 영주시 대동로 151 한식,경상북도 영주시 대동로 151,36.8144125,128.6197363
,부림장어,0,7,임영길,일반음식점,한식,1.65582E+12,1,경상북도 영주시 선비로 201,054-636-0000,10,부림장어 경상북도 영주시 선비로 201 한식,경상북도 영주시 선비로 201,36.8266724,128.6160008
